,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Trillium Trails,nfeuerer,268,777,756,69,0.348,0.849,1401,63,67,4.03,1.21,78,,1,21583,D3 - Andy Pettitte,124328,81.0,76.0,75.0,46.0,54.5,72.5,73.5,48.0,72.5,41.5,57.5,55.5,2683.5,6.5
1,The Juiced Balls,JayWilly,277,782,774,80,0.351,0.859,1353,43,38,4.35,1.26,81,,2,21583,D3 - Andy Pettitte,124296,84.0,77.5,80.0,61.0,64.5,80.0,69.0,21.0,24.5,15.0,35.0,64.5,2408.5,19.0
2,Oneonta Tigers,breakfishclub,259,762,723,73,0.361,0.881,1287,63,62,4.58,1.37,83,,3,21583,D3 - Andy Pettitte,124345,76.5,70.0,63.0,53.5,81.5,84.0,59.0,48.0,67.5,4.0,2.0,67.5,2412.5,18.0
3,Happy Holadays,SHTTNwTHINKIN,222,713,682,56,0.339,0.814,1486,96,51,3.72,1.21,89,,4,21583,D3 - Andy Pettitte,124299,42.0,44.5,45.0,24.0,20.0,19.5,81.0,78.0,45.5,73.0,57.5,77.5,2273.0,28.5
4,Bush League Brawlers,topheroc,226,691,725,71,0.338,0.817,1421,62,73,3.9,1.24,85,,5,21583,D3 - Andy Pettitte,124369,46.0,34.0,65.0,51.0,14.5,22.5,75.0,46.0,79.5,52.0,45.0,71.5,2279.5,25.0
5,Arrow'd by Archer,mkultra3,231,733,732,69,0.341,0.846,1230,78,69,4.16,1.28,72,,6,21583,D3 - Andy Pettitte,124440,54.0,55.5,69.0,46.0,28.5,62.5,49.0,62.0,76.0,28.5,25.5,42.5,2242.0,32.0
6,Ahead of the Curve,Take Over,216,733,659,69,0.352,0.844,1163,83,61,3.96,1.29,64,,7,21583,D3 - Andy Pettitte,124371,36.0,55.5,35.0,46.0,68.5,56.5,43.0,67.0,65.0,46.5,20.0,27.5,2135.5,36.0
7,stupid money,Take Over,185,703,652,55,0.361,0.846,891,48,25,3.86,1.2,50,,8,21583,D3 - Andy Pettitte,124344,14.0,37.0,32.0,22.0,81.5,62.5,11.5,24.0,10.5,59.5,64.0,12.5,1717.5,56.0
8,Springfield Isotopes,Saaulgooodmaan,197,616,640,107,0.347,0.844,815,24,2,4.09,1.22,68,,9,21583,D3 - Andy Pettitte,124359,22.5,10.5,27.5,81.0,49.0,56.5,6.0,9.0,3.0,36.5,52.0,35.0,1604.0,61.0
9,Helyar Hellhounds,Take Over,185,583,545,36,0.329,0.778,1145,55,7,3.51,1.09,79,,10,21583,D3 - Andy Pettitte,124284,14.0,4.0,5.0,5.0,3.0,2.0,40.0,39.0,5.0,82.0,84.0,58.5,1434.0,67.0
10,Red Rockets,hgfantomos,173,620,542,95,0.342,0.802,968,75,41,4.5,1.32,54,,11,21583,D3 - Andy Pettitte,124325,4.0,12.0,4.0,79.0,33.0,13.0,25.0,59.0,28.0,9.0,9.0,17.5,1281.5,74.0
11,Lord Chanka,Take Over,204,607,547,35,0.343,0.822,799,36,57,4.39,1.28,38,,12,21583,D3 - Andy Pettitte,124391,27.5,7.0,6.0,3.5,36.5,32.5,4.5,14.5,56.0,13.0,25.5,3.5,1038.0,80.0
12,Indecent Expos,MurrayN,229,738,746,32,0.35,0.842,1331,92,60,3.78,1.21,80,,1,21584,D3 - Randy Johnson,124295,51.5,59.5,73.0,2.0,59.0,53.5,66.0,76.0,63.0,68.0,57.5,61.5,2524.5,11.0
13,Redbird Redemption,RedbeardMtn,244,765,751,64,0.35,0.842,1114,29,52,3.88,1.23,83,,2,21584,D3 - Randy Johnson,124357,65.5,71.5,74.0,37.0,59.0,53.5,35.0,11.0,48.0,56.5,48.5,67.5,2277.0,26.0
14,wOBAffet,AdroitNinja,231,687,666,48,0.352,0.838,1437,87,59,3.88,1.17,75,,3,21584,D3 - Randy Johnson,124338,54.0,31.0,39.0,12.0,68.5,51.0,78.0,71.5,60.0,56.5,76.0,48.5,2395.0,20.0
15,Battered Bird Club,Tomosaki,235,733,705,62,0.339,0.836,1231,56,54,3.65,1.2,82,,4,21584,D3 - Randy Johnson,124355,58.0,55.5,55.0,33.5,20.0,46.5,50.0,40.0,50.0,76.0,64.0,66.0,2273.0,28.5
16,Jhonny P. Goode,BackInRed,228,760,741,75,0.353,0.844,1168,49,51,4.32,1.28,69,,5,21584,D3 - Randy Johnson,124263,49.5,68.5,70.0,56.0,70.5,56.5,45.0,26.5,45.5,19.0,25.5,38.0,2119.5,39.0
17,Swing and A Miss,bmox09,244,760,727,71,0.344,0.849,963,86,32,4.09,1.26,55,,6,21584,D3 - Randy Johnson,124288,65.5,68.5,67.0,51.0,39.5,72.5,23.0,68.5,16.0,36.5,35.0,19.5,2075.5,41.0
